,optA,value,slr,L,s1,lon,lat
Sweden2902,noAdaptation,6149.55084199,-0.297775,9.514,0.795,17.826,59.524
Sweden2903,fullRetreat,6.71378055779,-0.1622835,5.201,0.785,17.781,59.481
Sweden2904,noAdaptation,4006.41004859,-0.1622835,10.053,0.782,17.76,59.415
Sweden2905,noAdaptation,1446.62909769,-0.1622835,2.058,0.887,17.8,59.38
Sweden2906,noAdaptation,5716.80557729,-0.1622835,3.062,0.856,17.821,59.37
Sweden2907,noAdaptation,52203.4948269,-0.297775,40.783,0.85,18.012,59.344
Sweden2908,noAdaptation,16157.4921383,-0.297775,11.85,0.864,18.114,59.451
Sweden2909,noAdaptation,344.613483179,-0.297775,7.914,0.82,18.194,59.443
Sweden2910,noAdaptation,431.945683628,-0.297775,1.263,1.093,18.172,59.414
Sweden2911,noAdaptation,1838.05892534,-0.297775,0.247,0.955,18.166,59.411
Sweden2912,noAdaptation,2128.62405471,-0.297775,9.295,0.887,18.208,59.407
Sweden9098,noAdaptation,9479.51763611,-0.1622835,40.856,0.996,17.624,59.39
Sweden9099,,,,,,,
Sweden9100,,,,,,,
Sweden9087,,,,,,,
UnitedKingdom270,fullRetreat,3618.56085166,0.29952,13.735,0.828,-5.348,36.116
Belgium3186,fullProtect,1.522805,0.380805,0.018,5.958,4.252,51.375
Belgium3188,fullRetreat,9778.62087911,0.380805,1.61,6.01,4.244,51.346
Belgium3201,fullProtect,0.765885,0.394885,13.699,5.861,3.31,51.362
Belgium3187,fullProtect,0.693305,0.380805,18.172,5.551,4.292,51.31
Belgium3189,fullProtect,0.718805,0.380805,12.626,5.486,4.285,51.299
Belgium3196,fullProtect,1.000395,0.397395,24.769,5.518,2.646,51.129
Belgium3197,fullRetreat,9068.10538853,0.397395,9.939,5.559,2.792,51.186
Belgium3198,fullProtect,1.111485,0.370485,2.008,5.633,2.842,51.205
Belgium3199,fullRetreat,460282.958222,0.370485,12.929,5.753,2.904,51.23
Belgium3200,fullProtect,0.605385,0.394885,34.407,5.481,3.1,51.313
France33,fullRetreat,52.22087337,0.32793,15.798,6.828,-1.562,48.945
France34,fullRetreat,406.082433618,0.32793,9.402,7.659,-1.578,48.833
France35,fullRetreat,100.844143965,0.32793,33.839,6.518,-1.478,48.683
France36,fullRetreat,65.0427207375,0.32793,20.465,6.377,-1.497,48.637
France44,fullRetreat,1754.99883693,0.32793,53.726,7.381,-1.825,48.612
France17,noAdaptation,1067.11478349,0.374705,6.739,5.487,0.153,49.409
France18,fullRetreat,105.057668209,0.374705,2.976,5.576,0.195,49.419
France69,fullRetreat,5528.31802445,0.33119,105.551,3.526,-2.648,47.517
France70,fullRetreat,1229.02098841,0.33119,27.325,3.509,-2.466,47.413
France71,fullRetreat,13359.5177914,0.32705,32.349,3.612,-2.436,47.263
France72,fullProtect,0.93719,0.33119,15.108,3.505,-2.229,47.263
France73,fullProtect,1.37719,0.33119,0.034,3.486,-2.167,47.292
France74,noAdaptation,96384.1182439,0.33119,55.345,3.611,-1.925,47.299
France75,fullRetreat,1254.62157708,0.32705,53.361,3.537,-2.061,47.1
France76,fullRetreat,213.048029402,0.33119,9.342,3.468,-2.125,47.279
France77,fullRetreat,1189.96310197,0.33119,36.252,3.377,-1.922,47.269
France78,fullRetreat,2599.4748887,0.332235,58.021,3.318,-2.012,46.765
France79,fullRetreat,335.839952039,0.332235,20.732,3.118,-1.791,46.499
France80,noAdaptation,21041.2195872,0.321915,60.036,3.79,-1.45,46.384
France81,noAdaptation,22399.1381398,0.321915,10.49,3.829,-1.161,46.325
France82,fullRetreat,7051.01156237,0.321915,12.182,3.865,-1.106,46.262
France37,fullRetreat,963.520324934,0.32793,1.74,7.798,-2.714,48.528
France38,fullRetreat,219.034543879,0.32793,11.301,7.582,-2.669,48.511
France39,fullRetreat,1140.6964666,0.32793,54.967,7.647,-2.409,48.656
France40,fullRetreat,4059.89852764,0.32793,22.567,6.698,-2.072,48.613
France41,fullRetreat,545.901694544,0.32793,14.577,6.793,-1.953,48.525
France42,fullRetreat,3111.93353703,0.32793,7.281,6.838,-1.99,48.596
France43,fullRetreat,8211.16672122,0.32793,11.289,6.943,-1.999,48.669
France45,fullRetreat,996.456091577,0.32793,32.212,7.527,-2.898,48.694
France46,fullRetreat,243.06247307,0.32793,9.129,7.79,-2.761,48.569
France47,fullRetreat,514.335458234,0.32793,1.443,7.809,-2.725,48.537
France48,fullRetreat,3132.88352398,0.328225,87.207,6.173,-3.371,48.825
France49,fullRetreat,1833.61668028,0.328225,81.808,5.632,-3.888,48.643
France50,fullRetreat,1195.7577241,0.34012,81.5,5.094,-4.567,48.618
France51,fullRetreat,133.710673072,0.352065,25.834,4.529,-4.741,48.335
France52,fullRetreat,160.11613685,0.34012,4.643,4.44,-4.604,48.345
France53,fullRetreat,6172.87412831,0.34012,13.9,4.461,-4.521,48.345
France54,fullRetreat,853.739026451,0.34012,73.873,4.611,-4.251,48.287
France55,fullRetreat,1076.210516,0.34012,3.713,4.451,-4.546,48.338
France56,fullRetreat,289.368629849,0.34012,66.469,4.344,-4.484,48.235
France57,fullRetreat,1491.17579469,0.352065,102.98,3.292,-4.706,48.035
France58,fullRetreat,1509.25081536,0.338335,6.805,3.079,-4.364,47.808
France59,fullRetreat,708.905834088,0.338335,4.679,3.076,-4.313,47.801
France60,fullRetreat,4357.25700921,0.338335,16.536,3.055,-4.218,47.798
France61,fullRetreat,2299.63823124,0.338335,24.121,3.093,-4.064,47.88
France62,fullRetreat,657.93758072,0.338335,16.526,3.418,-3.895,47.842
France63,fullRetreat,2216.59118656,0.341695,39.168,3.139,-3.659,47.78
France64,fullRetreat,2410.16802962,0.341695,8.178,3.039,-3.451,47.737
France65,fullProtect,0.815695,0.341695,5.17,3.066,-3.395,47.716
France66,fullRetreat,11271.4301011,0.341695,102.381,3.289,-3.123,47.508
France67,fullRetreat,1292.07724356,0.33119,1.274,3.098,-2.756,47.626
France68,fullRetreat,708.404782637,0.33119,7.431,3.294,-2.717,47.634
France8817,fullRetreat,217.774379004,0.328225,5.178,6.277,-3.57,48.813
France8823,fullRetreat,857.142744186,0.341695,52.88,3.169,-3.249,47.389
France83,fullRetreat,1098.91768416,0.321915,5.373,3.902,-1.134,46.189
France84,fullRetreat,1389.73656359,0.321915,5.242,3.956,-1.142,46.147
France85,fullRetreat,830.025265571,0.321915,7.429,4.075,-1.104,46.105
