Unnamed: 0,optA,value,slr,L,s1,lon,lat
Maldives9708,noAdaptation,2544.54806226,0.48218,2.9389999999999996,0.977,73.597,5.284
Maldives9710,fullRetreat,1477.32988897,0.48218,0.38,1.001,73.633,5.397
Maldives9711,fullProtect,0.8471799999999999,0.48218,0.794,1.001,73.63,5.396
Maldives9712,fullRetreat,1050.09385554,0.48218,3.8289999999999997,0.9990000000000001,73.64399999999999,5.385
Maldives9713,fullProtect,0.72218,0.48218,0.29,1.001,73.632,5.392
Maldives9714,fullRetreat,1611.6040709000001,0.48218,2.478,1.518,73.638,5.38
Maldives9715,fullProtect,1.2641799999999999,0.48218,0.16399999999999998,1.406,73.64,5.369
Maldives9716,fullProtect,1.2641799999999999,0.48218,0.521,1.406,73.639,5.367000000000001
Maldives9717,fullRetreat,1416.29616991,0.48218,6.409,1.3359999999999999,73.645,5.36
Maldives9719,fullRetreat,1215.75680728,0.48218,1.9180000000000001,0.9740000000000001,73.611,5.287000000000001
Maldives9721,fullRetreat,1355.26245085,0.48218,3.484,1.28,73.64,5.343999999999999
Maldives9706,fullRetreat,2011.09591946,0.48218,7.956,0.983,73.447,4.9830000000000005
Maldives9623,fullRetreat,0.0,0.48218,2.19,0.9890000000000001,72.908,5.002
Maldives9628,fullRetreat,1719.72094467,0.48218,2.52,1.626,72.926,5.01
Maldives9629,fullRetreat,1726.69622685,0.48218,0.9540000000000001,1.641,73.013,5.284
Maldives9631,fullRetreat,1749.36589393,0.48218,1.147,1.663,73.018,5.284
Maldives9632,fullRetreat,1688.33217486,0.48218,1.7730000000000001,1.608,73.025,5.285
Maldives9633,fullRetreat,1880.15243477,0.48218,3.1460000000000004,1.276,72.945,5.013
Maldives9635,fullRetreat,1231.45119218,0.48218,1.931,0.995,72.954,5.016
Maldives9643,fullRetreat,1027.42418846,0.48218,2.39,0.997,73.101,5.3
Maldives9645,fullRetreat,1923.74794838,0.48218,1.466,1.8219999999999998,73.12,5.282
Maldives9646,fullRetreat,840.835390192,0.48218,2.738,2.09,73.104,5.25
Maldives9647,fullRetreat,1568.00855729,0.48218,2.479,1.4869999999999999,73.074,5.114
Maldives9648,fullRetreat,1400.60178501,0.48218,1.643,1.341,73.127,5.296
Maldives9649,fullRetreat,1238.42647436,0.48218,2.673,1.183,73.062,5.104
Maldives9650,fullRetreat,1306.4354756,0.48218,3.5389999999999997,1.248,73.07600000000001,5.126
Maldives9651,fullRetreat,840.835390192,0.48218,2.4859999999999998,2.153,73.122,5.232
Maldives9652,fullRetreat,840.835390192,0.48218,1.899,2.011,73.118,5.202999999999999
Maldives9653,fullRetreat,1290.7410906999999,0.48218,2.4659999999999997,1.232,73.10600000000001,5.15
Maldives9654,fullRetreat,1255.86467981,0.48218,2.23,1.2009999999999998,73.115,5.156000000000001
Maldives9655,fullRetreat,0.0,0.48218,1.584,1.317,73.128,5.207000000000001
Maldives9656,fullRetreat,0.0,0.48218,0.769,1.893,73.132,5.1979999999999995
Maldives9657,fullRetreat,1416.29616991,0.48218,3.67,1.35,73.127,5.1739999999999995
Maldives9626,fullProtect,0.69718,0.48218,0.948,0.986,72.88,4.878
Maldives9637,fullRetreat,1036.14329119,0.48218,4.0280000000000005,0.991,72.92699999999999,4.886
Maldives9638,fullProtect,0.54118,0.48218,0.096,1.002,72.97,4.881
Maldives9639,fullProtect,0.72218,0.48218,2.762,1.002,72.959,4.885
Maldives9640,fullRetreat,0.0,0.48218,0.938,1.002,72.97399999999999,4.88
Maldives9641,fullRetreat,1151.23544713,0.48218,1.284,1.0979999999999999,72.977,4.883
Maldives9642,fullProtect,0.71918,0.48218,0.152,0.9990000000000001,72.97,4.883
Maldives9644,fullRetreat,1027.42418846,0.48218,3.717,0.995,72.721,4.065
Maldives9658,fullRetreat,1088.45790752,0.48218,2.5639999999999996,1.048,72.85300000000001,4.228
Maldives9662,fullRetreat,1126.82195951,0.48218,0.8490000000000001,1.078,72.95100000000001,4.434
Maldives9663,fullRetreat,1100.66465134,0.48218,3.3930000000000002,1.056,72.94800000000001,4.446000000000001
Maldives9664,fullProtect,0.77118,0.48218,0.743,1.042,72.956,4.435
