year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
2045,0.03215712909879901,0.022577319093757257,0.01592439183870314,0.06093756157063648,0.004362101532164131,0.054524127027462094,0.040759946897267904,0.051253358313759705,0.023594894505615176,0.23853078466856448,0.3264361198655315,0.1289422655877392
2046,0.032333524201833254,0.022757545944062183,0.016112157012849848,0.061126267276105345,0.004400198700995263,0.04941279267851294,0.03693774616942958,0.04628191445866971,0.023771895308923603,0.24050419294662698,0.33400185075877353,0.13235991454321777
2047,0.032489620386041994,0.022922895515544855,0.016277415304454982,0.06133741741187916,0.004438839733874216,0.04473758424694974,0.033441888983025074,0.04175336995436438,0.02392058904865452,0.24210112531787617,0.34100563285236296,0.13557362124497185
2048,0.0326305230031346,0.023075866493951207,0.016424564189461706,0.061570076958113236,0.004477393650586641,0.04046989425681909,0.03025093034172919,0.0376363957357822,0.02404364632280484,0.24335587609938694,0.3474752879661455,0.13858954498208476
2049,0.032761215305097145,0.02321886964138957,0.016557891939408067,0.06182329640117961,0.004515225624501959,0.0365812271793646,0.027343518253415425,0.033900169725606534,0.0241434683928315,0.24430097607127413,0.35343976369587504,0.14141437777005642
2050,0.03288656581403015,0.02335422789691996,0.016681591354942828,0.06209611270992577,0.004551691355420114,0.0330436171262241,0.024698704752923895,0.030514771991497124,0.024222188357847233,0.24496697050010063,0.3589284495068958,0.14405510863327234
2051,0.033010436362225615,0.023483581245456697,0.016799157696723035,0.06238755492432691,0.004586273022454019,0.02983000875329471,0.022296229532914984,0.02745153234268567,0.024281734220140686,0.24538285644871202,0.3639714669054869,0.1465191685455787
2052,0.033132797560140606,0.02360596333878939,0.016911457492770267,0.0626966573768981,0.004618971810756525,0.02691446532380629,0.020116674490275713,0.024683207945599753,0.02432403649473822,0.2455780079410341,0.3686022598791832,0.1488155003460079
2053,0.033252609559201285,0.023719715218925557,0.01701867085648963,0.0630224439793585,0.004649909307790871,0.024272344401227407,0.018141594185363777,0.022184124463447797,0.024350839269595116,0.24558011656642478,0.3728543528314996,0.15095327936067576
2054,0.033368777347181314,0.023823118459609854,0.017120938184394266,0.06336392122405815,0.004679195400520715,0.021880408180478893,0.0163535975473169,0.019930252390686277,0.024363651540716652,0.24541458189222842,0.3767601309732821,0.1529414268595264
