year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
2036,0.028762803677329904,0.01980210342220902,0.012716329682668902,0.05924460076505434,0.004010002982169458,8.469746025268306e-06,6.6495152254290485e-06,7.497969690394773e-07,0.032872263281142615,0.3228236248890072,0.3753596589844459,0.1443927432577529
2037,0.029161802726892457,0.020116206055662132,0.013095165648901334,0.059348377029538546,0.00405873230866679,4.068774180770355e-06,3.2049572256249002e-06,3.09207205535021e-07,0.032230159080383215,0.31815545101701664,0.3780199930336107,0.14580653016071624
2038,0.029571041753299922,0.020438536267775965,0.013487439063104114,0.059452718991899765,0.0040922065131432225,1.953651579691653e-06,1.543384747956406e-06,1.2698735267995745e-07,0.03162838339058371,0.3137136733812711,0.38046877566838705,0.1471436009468548
2039,0.029992508474629174,0.02077053276897367,0.013894467249669711,0.05956098347783295,0.0041251152553115865,9.382454569802525e-07,7.437904399895266e-07,5.347512967244962e-08,0.031064548706049893,0.309461640055684,0.38271378806292283,0.1484146804378997
2040,0.030428307398944,0.021113691982313543,0.01431769395533133,0.059676581299991156,0.004154075495571984,4.501247520750375e-07,3.581637812209976e-07,2.4200255487905245e-08,0.0305371504680264,0.30537151436036625,0.38476810944927575,0.1496320431013907
2041,0.03081900973508806,0.021430176037402163,0.014701635932428538,0.05980293064974562,0.004184182022385479,2.169181304555181e-07,1.7353450436441448e-07,9.640805798023028e-09,0.030049750558852208,0.30147198377737755,0.3867091870550066,0.1508307441382732
2042,0.031154565522808902,0.021713006436256628,0.015036030203548332,0.059942230183476025,0.00421704950071081,1.056566410338429e-07,8.16437680716059e-08,3.717672992013536e-09,0.029600519620737214,0.2977596823626342,0.388559712577128,0.15201701257461775
2043,0.03144187975388125,0.021965848585283426,0.01532638885179978,0.060095427569316566,0.004252150322410698,4.786614077022924e-08,3.829291261618339e-08,1.5350671345012516e-09,0.029186135217329347,0.29422054022666394,0.39032348280140483,0.1531880589777896
2044,0.031687636118253495,0.02219224296094608,0.015578057697902074,0.060263425297320476,0.004288967039276978,2.3862832111401045e-08,1.9090265689120836e-08,6.342740775210398e-10,0.02880350264077323,0.290841452958725,0.3920036296126632,0.15434104208676763
2045,0.031898316020957454,0.022395607319048997,0.01579622543392676,0.060447110847838395,0.0043269938832484,9.520946074113421e-09,9.520946074113421e-09,2.6201643595960135e-10,0.028449715101560684,0.28761022427440575,0.39360271818029174,0.1554730696348132
2046,0.03208021309227919,0.02257925787220025,0.015985928568001604,0.06064738452104332,0.004365728458586645,4.750370726698119e-09,4.507151745491175e-09,1.0826094886145012e-10,0.028122052190931064,0.2845154408001679,0.39512276877688035,0.15658121635412636
